model,arm,signal,map,fit,scheme,bin,n,weight,conf_lo,conf_hi,mean_conf,empirical_rate,gap
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,6,25,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.56,-0.10666666666666669
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,7,25,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.76,0.09333333333333327
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,8,25,0.1,0.7727272727272727,0.7777777777777778,0.7733333333333334,0.8,0.026666666666666616
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,isotonic,naive_full_sample,equal_mass,9,25,0.1,0.7777777777777778,1.0,0.8666666666666666,0.84,-0.026666666666666616
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,0,1,0.004,0.09506087961737103,0.09506087961737103,0.09506087961737103,0.0,-0.09506087961737103
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,1,3,0.012,0.11570874242084019,0.18466215483735454,0.15588025422560353,0.6666666666666666,0.510786412441063
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,2,10,0.04,0.20199646086793113,0.2625469240910178,0.2367936780878806,0.4,0.16320632191211942
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,3,10,0.04,0.3193497527997022,0.3952843769509425,0.3621441908786072,0.6,0.23785580912139276
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,4,30,0.12,0.4091567549246666,0.499859810876423,0.46903911113283253,0.43333333333333335,-0.03570577779949918
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,5,49,0.196,0.5006149676919726,0.599970856339875,0.5549368301919521,0.46938775510204084,-0.08554907508991122
Gemma-4-31B-it,imposter_redacted,A_cosine_to_real,platt,held_out_crossfit,equal_width,6,78,0.312,0.6029913189377611,0.6996342066669261,0.648688248978763,0.6794871794871795,0.030798930508416533
